中文标题,英文标题,订阅地址,分类,推荐
Android Police,Android Police,https://www.androidpolice.com/feed/,数码设备 / Gadgets,
Lifehacker,Lifehacker,https://lifehacker.com/rss,生活效率 / Lifestyle & Productivity,
Mashable,Mashable,https://mashable.com/feed,生活效率 / Lifestyle & Productivity,
小众软件,Appinn,https://www.appinn.com/feed/,软件应用 / Apps & Software,推荐
政客 Playbook,Politico Playbook,https://rss.politico.com/playbook.xml,国际新闻 / World News,
福克斯新闻,FOX News,http://feeds.foxnews.com/foxnews/latest,国际新闻 / World News,
雅虎新闻·最新头条,Yahoo News - Latest News & Headlines,https://news.yahoo.com/rss/mostviewed,国际新闻 / World News,
巴哈姆特 GNN,Bahamut GNN,https://gnn.gamer.com.tw/rss.xml,游戏娱乐 / Gaming & Entertainment,
触乐,ChuApp,http://www.chuapp.com/feed,游戏娱乐 / Gaming & Entertainment,
少数派,Sspai,https://sspai.com/feed,软件应用 / Apps & Software,
IGN,IGN,http://feeds.ign.com/ign/news,游戏娱乐 / Gaming & Entertainment,
Eurogamer,Eurogamer,https://www.eurogamer.net/?format=rss,游戏娱乐 / Gaming & Entertainment,
Kotaku,Kotaku,https://kotaku.com/rss,游戏娱乐 / Gaming & Entertainment,
PC Gamer,PC Gamer,https://www.pcgamer.com/rss,游戏娱乐 / Gaming & Entertainment,
Rock Paper Shotgun,Rock Paper Shotgun,https://www.rockpapershotgun.com/feed/,游戏娱乐 / Gaming & Entertainment,
Steam 新闻,Steam News,https://store.steampowered.com/feeds/news.xml,游戏娱乐 / Gaming & Entertainment,
